commit_hash,commit_timestamp,commit_user,commit_message,file_changed
2cc5f3595c995a1562d59486d5eb58ea5df56c18,02-02-2024 16:04:54,Casper van Langen,"feat: add md ingestion pipeline, cleanup",docs/docusaurus/docs/tutorial/tutorial.md
2cc5f3595c995a1562d59486d5eb58ea5df56c18,02-02-2024 16:04:54,Casper van Langen,"feat: add md ingestion pipeline, cleanup",frontend/.env.example
2cc5f3595c995a1562d59486d5eb58ea5df56c18,02-02-2024 16:04:54,Casper van Langen,"feat: add md ingestion pipeline, cleanup",frontend/src/components/ToolActionRenderer/actions.tsx
10f991ea8048d333af9fad5c270969a143c21f79,02-02-2024 16:11:16,Casper van Langen,chore: linting,backend/app/app/db/vector_db_pdf_ingestion.py
10f991ea8048d333af9fad5c270969a143c21f79,02-02-2024 16:11:16,Casper van Langen,chore: linting,backend/app/app/schemas/tool_schemas/pdf_tool_schema.py
371b7238690f9c2252743e32796f7f0eff96764b,02-02-2024 16:24:55,Casper van Langen,fix: sql tool example fix,docs/docusaurus/docs/setup/setup.md
371b7238690f9c2252743e32796f7f0eff96764b,02-02-2024 16:24:55,Casper van Langen,fix: sql tool example fix,docs/docusaurus/docs/tutorial/tutorial.md
40a21ae6b159b9439a97005e981ef3d2ad0fc55b,02-02-2024 16:25:24,Casper van Langen,Merge branch 'main' into feat/tutorial_data,README.md
09ff4459d023d1776a4437446df9db5dc37ec9a6,02-02-2024 16:54:31,GitHub,Merge branch 'main' into feat/tutorial_data,README.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",.env.example
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/db/vector_db_pdf_ingestion.py
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/schemas/tool_schemas/pdf_tool_schema.py
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/services/chat_agent/tools/library/pdf_tool/pdf_tool.py
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/CONTRIBUTING.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/README.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/backend_flow.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/commit_history.csv
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/configure_agent_and_tools.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/configure_ui.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/entertainer_expert_tools.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/evaluation.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/image_generation_tool.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/key_concepts.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/memory.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/optional_features.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/pdf_tool.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/setup.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/setup_development.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/sql_tool.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/summarizer_tool.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",backend/app/app/tool_constants/tutorial_data/visualizer_tool.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",docker-compose-demo.yml
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",docker-compose-development.yml
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",docker-compose.yml
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",docs/docusaurus/docs/advanced/overview_codebase.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",docs/docusaurus/docs/setup/setup.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",docs/docusaurus/docs/tutorial/tutorial.md
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",frontend/.env.example
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",frontend/src/components/ToolActionRenderer/actions.tsx
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",scripts/create-dbs.sql
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",scripts/sql_db_tool/2-load_commits.sql
f91373528137b5df9bf3ebb0a6ded4a6702ff9cb,02-06-2024 09:32:52,GitHub,"Merge pull request #12 from BCG-X-Official/feat/tutorial_data

Feat: Tutorial updates",scripts/sql_db_tool/chinook_psql_load.sql
f057b39f1babcc42e1115db76027a1aabdfe0346,02-06-2024 14:16:27,Casper van Langen,fix: update readme links to deployed docs,README.md
1c3d1840678d6be65f05fd790b9da3fced9fb158,02-06-2024 14:23:37,Casper van Langen,cleanup: .env.example comments,.env.example
1c3d1840678d6be65f05fd790b9da3fced9fb158,02-06-2024 14:23:37,Casper van Langen,cleanup: .env.example comments,frontend/.env.example
583d8890a61473988f58536c43d18727c4613807,02-06-2024 14:28:30,Casper van Langen,cleanup: remove todos,frontend/src/components/ToolAppendixRenderer/CodeFlipCard/JsxDisplay.tsx
583d8890a61473988f58536c43d18727c4613807,02-06-2024 14:28:30,Casper van Langen,cleanup: remove todos,frontend/src/components/ToolAppendixRenderer/CodeFlipCard/TextAreaEditor.tsx
583d8890a61473988f58536c43d18727c4613807,02-06-2024 14:28:30,Casper van Langen,cleanup: remove todos,frontend/src/components/ToolAppendixRenderer/CodeFlipCard/index.tsx
583d8890a61473988f58536c43d18727c4613807,02-06-2024 14:28:30,Casper van Langen,cleanup: remove todos,frontend/src/components/ToolAppendixRenderer/index.tsx
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,.env.example
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,README.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/db/vector_db_pdf_ingestion.py
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/schemas/tool_schemas/pdf_tool_schema.py
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/services/chat_agent/tools/library/pdf_tool/pdf_tool.py
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/CONTRIBUTING.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/README.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/backend_flow.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/commit_history.csv
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/configure_agent_and_tools.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/configure_ui.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/entertainer_expert_tools.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/evaluation.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/image_generation_tool.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/key_concepts.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/memory.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/optional_features.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/pdf_tool.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/setup.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/setup_development.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/sql_tool.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/summarizer_tool.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,backend/app/app/tool_constants/tutorial_data/visualizer_tool.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,docker-compose-demo.yml
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,docker-compose-development.yml
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,docker-compose.yml
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,docs/docusaurus/docs/advanced/overview_codebase.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,docs/docusaurus/docs/setup/setup.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,docs/docusaurus/docs/tutorial/tutorial.md
6f5c7152ee0d2441c47da0f50e3d098cf9e644ed,02-06-2024 21:25:38,Casper van Langen,chore: merge conflicts,frontend/.env.example
